Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
Flores,Jose,71288,Public,Computer Science,Baguio,99.07,Male
Reyes,Ana,96272,Private,Economics,San Fernando,96.56,Male
Garcia,Ana,50907,Public,Finance,Laoag,95.27,Female
Flores,Elena,79170,Private,Engineering,Cervantes,99.46,Male
Gonzales,Luisa,34474,Public,Economics,Narvacan,94.72,Male
Mendoza,Juan,98474,Private,Accountancy,Tagudin,96.85,Female
Mendoza,Carlos,85751,Public,Computer Science,Batac,86.62,Male
Lopez,Pedro,96768,Private,Literature,Baguio,89.64,Female
Reyes,Miguel,61992,Public,Literature,Tagudin,90.71,Female
Garcia,Juan,35571,Private,Psychology,Cervantes,96.53,Male
Santos,Ana,47769,Public,History,Cervantes,97.39,Female
Cruz,Luisa,92402,Private,Computer Science,Candon,89.81,Female
Torres,Miguel,63274,Public,Psychology,Tagudin,90.06,Female
Santos,Carlos,58362,Private,History,Tagudin,85.57,Female
Cruz,Elena,76026,Public,History,Baguio,95.19,Female
Lopez,Pedro,56503,Private,Psychology,San Fernando,90.49,Female
Mendoza,Rosa,33824,Public,Sociology,Batac,93.07,Female
Santos,Miguel,32729,Private,Literature,San Fernando,91.1,Male
Torres,Luisa,48568,Public,Psychology,Candon,95.66,Male
Torres,Pedro,51036,Private,History,Tagudin,93.4,Female
Garcia,Jose,59049,Public,Computer Science,Santa,94.93,Male
Cruz,Luisa,49720,Private,Sociology,Baguio,96.69,Female
Flores,Miguel,54099,Public,Finance,Candon,89.24,Female
Gonzales,Carlos,61156,Private,Sociology,Batac,99.29,Female
Mendoza,Rosa,33944,Public,Sociology,Narvacan,96.97,Female
Mendoza,Jose,71776,Private,Economics,Candon,90.16,Male
Rivera,Elena,46253,Public,Computer Science,Santa,88.2,Female
Cruz,Miguel,72062,Private,Psychology,Candon,96.96,Male
Lopez,Miguel,58311,Public,Psychology,Santa,88.4,Male
Gonzales,Luisa,63446,Private,Literature,Santa,97.3,Male
Garcia,Juan,39375,Public,Psychology,San Fernando,97.25,Female
Santos,Jose,70184,Private,Engineering,Candon,96.87,Female
Cruz,Elena,84718,Public,Computer Science,Batac,98.53,Female
Torres,Carlos,82369,Private,Economics,Tagudin,88.38,Female
Torres,Elena,60158,Public,Accountancy,San Fernando,86.78,Male
Gonzales,Luisa,44427,Private,Finance,Tagudin,91.37,Male
Garcia,Ana,77442,Public,Finance,Candon,98.34,Female
Reyes,Ana,96998,Private,Engineering,Cervantes,96.25,Female
Cruz,Maria,55292,Public,Literature,Baguio,86.97,Female
Mendoza,Juan,62856,Private,Accountancy,Narvacan,91.6,Male
Cruz,Elena,80107,Public,Engineering,Candon,94.93,Male
Torres,Maria,47962,Private,History,Candon,92.27,Female
Garcia,Jose,48667,Public,Biology,Candon,98.76,Male
Torres,Juan,72677,Private,Economics,Cervantes,97.65,Female
Santos,Juan,41531,Public,Psychology,Narvacan,96.5,Male
Lopez,Elena,56440,Private,Literature,San Fernando,97.88,Female
Lopez,Luisa,72050,Public,Sociology,Baguio,92.48,Male
Flores,Maria,95532,Private,Economics,Narvacan,90.18,Female
Torres,Elena,58333,Public,Engineering,Candon,98.8,Male
Rivera,Rosa,93252,Private,Economics,San Fernando,96.84,Male
Torres,Juan,42196,Public,Sociology,Candon,91.89,Female
Garcia,Juan,78685,Private,Biology,Laoag,87.85,Female
Santos,Luisa,65805,Public,Finance,Narvacan,97.56,Female
Santos,Jose,42204,Private,Finance,Cervantes,86.41,Female
Cruz,Juan,95821,Public,Accountancy,Cervantes,93.3,Female
Garcia,Juan,74799,Private,Economics,Narvacan,98.69,Female
Garcia,Miguel,83604,Public,Accountancy,Cervantes,88.1,Male
Rivera,Maria,52557,Private,Biology,Laoag,96.06,Male
Gonzales,Miguel,95312,Public,History,San Fernando,92.98,Male
Flores,Juan,32699,Private,Biology,Batac,91.53,Male
Cruz,Miguel,67061,Public,Literature,Candon,96.19,Male
Torres,Pedro,39116,Private,History,Tagudin,88.91,Male
Santos,Elena,45721,Public,Computer Science,Santa,92.02,Male
Cruz,Maria,32916,Private,Literature,Cervantes,99.31,Male
Lopez,Jose,47108,Public,Psychology,Laoag,85.73,Male
Reyes,Maria,63322,Private,History,Santa,91.92,Female
Gonzales,Carlos,39121,Public,Literature,San Fernando,95.32,Male
Lopez,Jose,32000,Private,Engineering,San Fernando,89.31,Male
Garcia,Maria,87888,Public,Accountancy,San Fernando,93.38,Female
Mendoza,Elena,85494,Private,Engineering,Tagudin,92.68,Female
Flores,Ana,67332,Public,Economics,Candon,90.44,Female
Garcia,Miguel,43449,Private,Accountancy,Candon,85.38,Male
Mendoza,Maria,65366,Public,Computer Science,Vigan,97.95,Female
Flores,Maria,55792,Private,Literature,Vigan,92.88,Female
Reyes,Ana,45910,Public,Engineering,Santa,91.23,Male
Rivera,Ana,76838,Private,Literature,San Fernando,89.65,Female
Santos,Pedro,92861,Public,Biology,Tagudin,89.63,Male
Torres,Ana,92155,Private,Computer Science,Santa,89.36,Male
Torres,Ana,39162,Public,Economics,Batac,88.02,Female
Reyes,Ana,75325,Private,Economics,Laoag,92.63,Male
Gonzales,Luisa,83289,Public,Sociology,Santa,93.5,Male
Flores,Elena,76931,Private,Finance,Cervantes,91.95,Male
Cruz,Jose,47329,Public,Economics,Narvacan,92.56,Female
Torres,Juan,52654,Private,Literature,Laoag,94.51,Male
Reyes,Rosa,40734,Public,Literature,Batac,88.17,Male
Santos,Miguel,40006,Private,Accountancy,Tagudin,92.86,Female
Mendoza,Ana,30049,Public,Psychology,Tagudin,86.13,Male
Torres,Maria,79179,Private,Economics,Candon,91.34,Female
Reyes,Maria,84471,Public,Psychology,Batac,95.63,Female
Lopez,Rosa,39225,Private,Computer Science,San Fernando,95.28,Male
Rivera,Jose,66408,Public,Literature,Batac,89.89,Female
Gonzales,Carlos,99879,Private,Finance,Tagudin,95.47,Male
Garcia,Juan,47803,Public,Biology,Candon,86.54,Female
Santos,Rosa,45636,Private,Accountancy,Batac,85.45,Female
Flores,Juan,83451,Public,Engineering,Santa,96.17,Male
Santos,Pedro,84463,Private,Computer Science,San Fernando,97.69,Male
Mendoza,Luisa,90903,Public,History,Santa,85.08,Male
Lopez,Ana,82115,Private,Computer Science,Vigan,91.49,Male
Rivera,Ana,54579,Public,Psychology,Narvacan,85.19,Female
Rivera,Pedro,99536,Private,Economics,Santa,99.17,Female
Gonzales,Pedro,99009,Public,Economics,Tagudin,91.13,Female
Gonzales,Carlos,99554,Private,Computer Science,Narvacan,98.9,Male
Torres,Carlos,68061,Public,Sociology,Cervantes,88.5,Male
Gonzales,Jose,56861,Private,History,San Fernando,93.22,Male
Reyes,Juan,74746,Public,Psychology,Batac,99.89,Male
Garcia,Miguel,97222,Private,Economics,Baguio,98.39,Male
Mendoza,Luisa,49885,Public,History,Laoag,95.57,Female
Santos,Juan,41591,Private,History,Candon,88.76,Male
Reyes,Ana,55430,Public,Economics,Candon,98.4,Male
Garcia,Luisa,84050,Private,Biology,Vigan,96.06,Female
Flores,Luisa,68655,Public,Finance,Candon,98.56,Male
Reyes,Pedro,81010,Private,Psychology,Cervantes,98.13,Female
Garcia,Maria,54650,Public,History,Batac,98.51,Male
Flores,Carlos,59490,Private,Biology,Candon,94.42,Female
Lopez,Ana,44162,Public,Literature,San Fernando,95.98,Male
Reyes,Maria,75339,Private,History,Vigan,97.22,Female
Mendoza,Ana,88423,Public,Literature,San Fernando,97.78,Male
Cruz,Miguel,66123,Private,Computer Science,Cervantes,88.54,Male
Reyes,Ana,45572,Public,Economics,San Fernando,98.11,Male
Mendoza,Jose,44634,Private,Accountancy,Laoag,89.84,Female
Lopez,Maria,84026,Public,Psychology,Narvacan,90.9,Male
Reyes,Juan,81586,Private,History,Candon,97.48,Male
Garcia,Ana,52253,Public,Economics,Candon,87.52,Male
Flores,Jose,68228,Private,Engineering,Batac,90.31,Male
Gonzales,Luisa,91461,Public,Economics,Laoag,94.02,Male
Torres,Elena,35151,Private,Computer Science,Cervantes,98.79,Male
Flores,Luisa,32593,Public,Computer Science,Laoag,94.71,Female
Cruz,Carlos,73326,Private,Literature,Santa,95.74,Female
Flores,Rosa,93141,Public,History,Narvacan,95.93,Female
Gonzales,Luisa,60891,Private,Accountancy,Vigan,92.8,Male
Flores,Juan,59049,Public,Psychology,Narvacan,92.58,Male
Torres,Elena,30789,Private,Psychology,Baguio,92.69,Female
Reyes,Pedro,68634,Public,Sociology,Santa,92.87,Female
Rivera,Carlos,89875,Private,Psychology,Candon,89.48,Male
Flores,Carlos,45251,Public,Sociology,San Fernando,88.27,Female
Gonzales,Luisa,83009,Private,Biology,Candon,86.02,Male
Reyes,Jose,82253,Public,Economics,Santa,93.78,Female
Reyes,Carlos,96650,Private,History,Santa,87.55,Female
Rivera,Pedro,93508,Public,History,Narvacan,93.69,Female
Gonzales,Miguel,46096,Private,Finance,Narvacan,95.85,Female
Santos,Miguel,30990,Public,Finance,Tagudin,94.23,Female
Torres,Luisa,31607,Private,Engineering,Candon,86.48,Male
Lopez,Pedro,51946,Public,Engineering,Cervantes,93.85,Female
Reyes,Carlos,73380,Private,Economics,Tagudin,99.12,Female
Gonzales,Elena,60090,Public,Computer Science,Narvacan,95.51,Male
Santos,Rosa,86042,Private,Sociology,Vigan,91.77,Male
Reyes,Jose,69166,Public,Accountancy,Vigan,96.83,Female
Garcia,Jose,30759,Private,Accountancy,Baguio,92.52,Male
Santos,Juan,56988,Public,Computer Science,San Fernando,99.01,Male
Mendoza,Pedro,58498,Private,Computer Science,San Fernando,90.63,Male
Reyes,Miguel,42038,Public,History,Santa,93.11,Male
Garcia,Elena,99383,Private,Computer Science,Candon,95.58,Male
Santos,Maria,90156,Public,Literature,Baguio,96.26,Female
Gonzales,Elena,40507,Private,Sociology,Batac,91.02,Female
Reyes,Juan,35256,Public,History,Baguio,95.5,Female
Garcia,Carlos,90496,Private,Economics,Santa,90.81,Female
Cruz,Miguel,73882,Public,Engineering,Baguio,87.62,Female
Garcia,Pedro,56980,Private,Economics,Tagudin,92.23,Male
Torres,Juan,40850,Public,Engineering,Santa,98.23,Female
Mendoza,Juan,91850,Private,Biology,Vigan,92.57,Female
Garcia,Rosa,46285,Public,Finance,Baguio,88.19,Male
Rivera,Jose,79336,Private,Accountancy,Cervantes,96.16,Female
Cruz,Rosa,88687,Public,Accountancy,Narvacan,87.48,Female
Reyes,Elena,74499,Private,Accountancy,Tagudin,91.99,Male
Reyes,Rosa,39066,Public,Sociology,Candon,92.14,Male
Flores,Miguel,76088,Private,Economics,Batac,93.53,Female
Rivera,Juan,99160,Public,Literature,Tagudin,94.75,Male
Torres,Juan,45892,Private,Finance,Cervantes,92.2,Female
Flores,Elena,63367,Public,Computer Science,Baguio,85.59,Male
Garcia,Jose,50387,Private,Accountancy,Narvacan,96.89,Male
Rivera,Ana,56870,Public,Psychology,Vigan,94.45,Male
Cruz,Ana,96881,Private,Psychology,Cervantes,87.49,Female
Lopez,Luisa,92018,Public,Literature,Batac,96.36,Female
Mendoza,Pedro,66901,Private,Finance,Batac,89.16,Female
Lopez,Ana,36098,Public,Biology,Candon,89.26,Female
Lopez,Luisa,97683,Private,Psychology,Vigan,99.12,Female
Torres,Elena,47610,Public,Literature,Narvacan,86.79,Male
Garcia,Maria,72367,Private,Accountancy,Baguio,91.04,Female
Cruz,Elena,45373,Public,Computer Science,Laoag,93.39,Female
Reyes,Luisa,94218,Private,Psychology,Candon,94.73,Male
Mendoza,Rosa,81303,Public,Engineering,Batac,86.84,Male
Santos,Luisa,32382,Private,Biology,Narvacan,98.27,Male
Torres,Ana,89850,Public,History,Vigan,90.85,Male
Lopez,Ana,80587,Private,Sociology,Candon,94.63,Male
Lopez,Ana,96795,Public,Finance,Santa,91.79,Female
Garcia,Pedro,42208,Private,Economics,Vigan,87.92,Male
Flores,Luisa,34837,Public,Biology,Baguio,99.6,Male
Gonzales,Pedro,65176,Private,Biology,Vigan,99.74,Male
Garcia,Carlos,84587,Public,Economics,Santa,86.85,Female
Rivera,Rosa,60001,Private,History,Santa,87.8,Female
Santos,Elena,76407,Public,Computer Science,Cervantes,92.06,Male
Torres,Miguel,42771,Private,Psychology,Laoag,90.65,Female
Mendoza,Maria,53160,Public,Computer Science,Vigan,85.7,Male
Flores,Elena,44822,Private,Economics,Tagudin,88.81,Male
Garcia,Jose,90756,Public,Sociology,Cervantes,92.71,Female
Cruz,Carlos,59716,Private,Computer Science,Tagudin,86.34,Female
Rivera,Miguel,90791,Public,Literature,Narvacan,89.67,Female
Rivera,Juan,87193,Private,History,Tagudin,85.3,Female
Lopez,Elena,80746,Public,Finance,Tagudin,95.49,Female
Gonzales,Juan,52731,Private,Biology,Narvacan,95.61,Female
Lopez,Rosa,88133,Public,Literature,Narvacan,92.45,Female
Torres,Rosa,57554,Private,Psychology,San Fernando,95.11,Female
Santos,Rosa,71247,Public,History,Laoag,96.45,Female
Cruz,Jose,86408,Private,Literature,Vigan,86.68,Male
Cruz,Carlos,83995,Public,Sociology,Candon,96.22,Male
Reyes,Ana,47838,Private,Psychology,Tagudin,88.96,Female
Rivera,Carlos,82294,Public,Psychology,Vigan,95.23,Male
Lopez,Luisa,36949,Private,History,Santa,89.07,Male
Mendoza,Maria,79232,Public,Engineering,Narvacan,99.47,Female
Garcia,Rosa,47879,Private,History,Laoag,87.71,Female
Mendoza,Maria,39791,Public,Engineering,Tagudin,88.6,Female
Mendoza,Maria,53512,Private,History,Laoag,87.7,Male
Lopez,Juan,34058,Public,Finance,Baguio,98.3,Male
Mendoza,Luisa,86963,Private,History,Tagudin,89.07,Female
Lopez,Maria,40889,Public,Economics,Candon,96.11,Male
Gonzales,Pedro,54170,Private,Psychology,Candon,93.96,Male
Rivera,Juan,58145,Public,Engineering,Tagudin,89.72,Female
Santos,Miguel,61981,Private,Accountancy,Tagudin,91.01,Male
Garcia,Luisa,63968,Public,Computer Science,San Fernando,94.97,Male
Torres,Miguel,39905,Private,Accountancy,Baguio,93.24,Female
Rivera,Maria,51579,Public,Sociology,San Fernando,91.94,Male
Gonzales,Miguel,98280,Private,Economics,Candon,86.57,Female
Santos,Miguel,95000,Public,Biology,Batac,93.08,Male
Santos,Elena,73667,Private,History,Batac,92.97,Male
Cruz,Carlos,43515,Public,History,Batac,91.86,Female
Mendoza,Miguel,80162,Private,History,Batac,88.63,Male
Flores,Pedro,93573,Public,Economics,Cervantes,94.47,Male
Gonzales,Maria,67032,Private,Biology,Vigan,91.97,Female
Reyes,Miguel,44931,Public,Psychology,Vigan,93.46,Male
Garcia,Elena,33386,Private,Biology,Batac,89.22,Male
Flores,Jose,89321,Public,Computer Science,Narvacan,98.59,Female
Torres,Ana,34213,Private,Computer Science,Baguio,90.66,Female
Cruz,Miguel,64671,Public,Engineering,Santa,96.75,Female
Garcia,Luisa,48409,Private,History,Tagudin,97.96,Male
Rivera,Jose,41898,Public,Literature,San Fernando,86.47,Female
Cruz,Pedro,52946,Private,Sociology,Laoag,92.77,Female
Rivera,Juan,80619,Public,Psychology,Narvacan,93.32,Male
Garcia,Ana,63895,Private,Sociology,Cervantes,96.78,Male
Mendoza,Carlos,74733,Public,Finance,Santa,85.61,Female
Torres,Jose,32229,Private,Sociology,Laoag,91.9,Female
Gonzales,Rosa,35411,Public,Computer Science,San Fernando,93.62,Female
Mendoza,Maria,89618,Private,Computer Science,Candon,91.46,Female
Gonzales,Pedro,35511,Public,Engineering,Batac,92.87,Male
Mendoza,Rosa,65370,Private,Biology,Santa,86.26,Male
Reyes,Luisa,68550,Public,Accountancy,Laoag,96.24,Female
Gonzales,Ana,63023,Private,History,Santa,92.05,Female
Santos,Miguel,98091,Public,History,Candon,91.91,Male
Cruz,Jose,32711,Private,Psychology,Batac,88.15,Female
Santos,Miguel,40480,Public,Economics,Batac,85.9,Female
Cruz,Rosa,44276,Private,Computer Science,Tagudin,90.4,Male
Santos,Luisa,61575,Public,Finance,Cervantes,96.89,Female
Rivera,Juan,95611,Private,Computer Science,Cervantes,88.05,Female
Flores,Maria,89826,Public,Computer Science,Santa,87.24,Female
Cruz,Ana,66875,Private,Sociology,Batac,91.34,Female
Torres,Elena,55432,Public,History,Tagudin,88.99,Male
Torres,Luisa,31123,Private,Engineering,Santa,92.52,Female
Garcia,Miguel,78183,Public,Economics,Vigan,92.92,Male
Gonzales,Ana,80303,Private,Engineering,Batac,89.51,Male
Garcia,Jose,32848,Public,Engineering,Vigan,87.88,Male
Cruz,Luisa,34135,Private,Engineering,Vigan,92.45,Male
Gonzales,Luisa,30770,Public,Computer Science,San Fernando,96.08,Male
Gonzales,Miguel,49319,Private,Biology,Vigan,86.18,Female
Reyes,Maria,38257,Public,Finance,Santa,99.25,Female
Cruz,Juan,56436,Private,Economics,Narvacan,97.13,Male
Lopez,Miguel,43235,Public,Literature,Narvacan,94.9,Female
Lopez,Luisa,37164,Private,History,Narvacan,97.08,Female
Reyes,Juan,65216,Public,Economics,Santa,96.64,Male
Mendoza,Luisa,68156,Private,History,Narvacan,87.2,Female
Cruz,Pedro,30141,Public,Engineering,Vigan,93.91,Female
Lopez,Pedro,61180,Private,Psychology,Batac,99.46,Male
Flores,Maria,89485,Public,Biology,San Fernando,95.12,Female
Torres,Carlos,75795,Private,Psychology,Candon,96.61,Female
Reyes,Jose,53997,Public,Computer Science,Baguio,92.4,Female
Reyes,Miguel,50019,Private,Engineering,San Fernando,92.2,Female
Santos,Elena,60084,Public,Biology,Vigan,95.24,Female
Garcia,Juan,34272,Private,Economics,Vigan,90.05,Male
Torres,Luisa,88437,Public,Engineering,Baguio,98.26,Female
Rivera,Pedro,68738,Private,History,Vigan,95.71,Female
Torres,Elena,32653,Public,Accountancy,Tagudin,99.8,Male
Santos,Miguel,78819,Private,Sociology,Baguio,93.11,Female
Torres,Luisa,41048,Public,History,Cervantes,95.48,Female
Flores,Rosa,43535,Private,History,Candon,90.21,Female
Cruz,Maria,74270,Public,Biology,Vigan,93.33,Male
Flores,Elena,87432,Private,Sociology,Tagudin,99.3,Male
Santos,Miguel,55941,Public,History,Baguio,91.59,Male
Rivera,Miguel,54219,Private,Accountancy,Batac,86.99,Female
Reyes,Carlos,62370,Public,Engineering,Narvacan,91.04,Female
Cruz,Miguel,74265,Private,Computer Science,Candon,85.09,Male
Cruz,Elena,67414,Public,History,Vigan,92.38,Male
Gonzales,Juan,31449,Private,Finance,Baguio,87.18,Male
Rivera,Rosa,79428,Public,Accountancy,Tagudin,91.64,Female
Torres,Pedro,91362,Private,Literature,Batac,85.19,Male
Mendoza,Pedro,55845,Public,Economics,Laoag,93.87,Female
Mendoza,Carlos,86061,Private,Accountancy,Narvacan,88.22,Male
Torres,Maria,99517,Public,Engineering,Vigan,93.28,Male
Cruz,Maria,69829,Private,Finance,Tagudin,88.84,Female
Mendoza,Ana,97324,Public,Biology,Laoag,87.97,Male
Cruz,Rosa,86195,Private,History,Cervantes,92.41,Female
Santos,Juan,46166,Public,Finance,Candon,96.38,Female
Flores,Juan,75877,Private,History,Vigan,99.21,Female
Rivera,Luisa,68962,Public,Economics,Candon,90.47,Male
Torres,Rosa,62305,Private,Engineering,Batac,95.8,Male
Santos,Juan,41824,Public,Biology,Laoag,85.2,Female
Reyes,Elena,88739,Private,History,Santa,86.18,Female
Cruz,Elena,61111,Public,Accountancy,Baguio,94.63,Male
Lopez,Elena,84741,Private,Engineering,San Fernando,89.85,Male
Torres,Miguel,76984,Public,Psychology,Baguio,99.15,Female
Mendoza,Miguel,32891,Private,Biology,San Fernando,85.72,Female
Rivera,Carlos,77898,Public,Engineering,Vigan,86.48,Male
Rivera,Maria,56368,Private,Finance,Batac,86.93,Female
Flores,Ana,49133,Public,Finance,Tagudin,87.02,Male
Reyes,Juan,91127,Private,Computer Science,Vigan,87.62,Female
Santos,Pedro,72636,Public,Literature,Narvacan,96.68,Female
Rivera,Jose,45517,Private,Biology,Baguio,98.37,Male
Torres,Luisa,65758,Public,Psychology,Baguio,95.71,Female
Mendoza,Juan,38467,Private,Finance,Batac,88.57,Female
Flores,Luisa,60118,Public,Economics,Batac,99.08,Female
Mendoza,Juan,69688,Private,Economics,Baguio,85.97,Female
Rivera,Jose,72347,Public,Biology,San Fernando,85.44,Male
Cruz,Miguel,87330,Private,Computer Science,Tagudin,99.15,Male
Reyes,Juan,58819,Public,Psychology,Narvacan,86.71,Male
Mendoza,Miguel,35763,Private,Finance,Cervantes,97.39,Female
Rivera,Miguel,32518,Public,Computer Science,Tagudin,93.47,Female
Rivera,Rosa,65568,Private,Literature,Batac,96.36,Female
Reyes,Pedro,34108,Public,Sociology,Cervantes,98.37,Male
Cruz,Rosa,84501,Private,Engineering,Cervantes,90.76,Male
Rivera,Maria,66047,Public,Engineering,Santa,94.45,Female
Lopez,Juan,31380,Private,Computer Science,San Fernando,98.34,Male
Flores,Rosa,81732,Public,Economics,San Fernando,92.55,Male
Gonzales,Miguel,52812,Private,Psychology,Candon,89.76,Female
Gonzales,Juan,35129,Public,Economics,Candon,98.56,Male
Cruz,Juan,38644,Private,Psychology,Candon,99.08,Male
Gonzales,Luisa,55717,Public,Engineering,Santa,89.39,Female
Gonzales,Jose,81366,Private,Finance,Tagudin,89,Female
Garcia,Rosa,87696,Public,Engineering,Santa,99.83,Female
Torres,Maria,81328,Private,Finance,Cervantes,98.47,Male
Flores,Maria,87404,Public,Economics,Baguio,88.08,Male
Garcia,Juan,48944,Private,Literature,San Fernando,85.23,Female
Santos,Ana,36586,Public,Psychology,Batac,98.74,Male
Reyes,Juan,95756,Private,Sociology,Laoag,95.64,Male
Reyes,Ana,93481,Public,Biology,Tagudin,91.6,Male
Cruz,Ana,49512,Private,Engineering,Laoag,91.51,Female
Mendoza,Juan,91342,Public,Psychology,Tagudin,88.91,Female
Cruz,Pedro,49811,Private,Biology,Narvacan,97.49,Female
Garcia,Luisa,40650,Public,Biology,Batac,86.6,Male
Lopez,Miguel,94904,Private,Sociology,Tagudin,90.18,Female
Cruz,Elena,73070,Public,Economics,Laoag,88.89,Female
Garcia,Pedro,58773,Private,Literature,Baguio,93.81,Female
Gonzales,Carlos,93490,Public,Engineering,Laoag,95.97,Female
Rivera,Elena,51073,Private,Finance,San Fernando,92.11,Female
Santos,Jose,66546,Public,Literature,Tagudin,89.18,Male
Cruz,Luisa,69398,Private,Accountancy,Santa,88.15,Male
Gonzales,Luisa,44232,Public,Accountancy,Candon,93.83,Female
Lopez,Elena,52548,Private,Literature,Narvacan,92.87,Male
Lopez,Jose,93226,Public,Literature,Narvacan,95.13,Male
Rivera,Pedro,86993,Private,Accountancy,Batac,88.1,Male
Reyes,Ana,68027,Public,History,Batac,97.75,Male
Lopez,Jose,59470,Private,Literature,Narvacan,98.02,Female
Santos,Ana,33966,Public,Accountancy,Narvacan,97.78,Male
Flores,Rosa,99313,Private,Computer Science,Tagudin,87.43,Male
Flores,Pedro,43424,Public,Economics,Laoag,91.61,Male
Mendoza,Rosa,41405,Private,History,Candon,87.09,Male
Garcia,Elena,70302,Public,Literature,Cervantes,92.84,Female
Cruz,Maria,50232,Private,Literature,Candon,95.91,Female
Cruz,Maria,63311,Public,History,Tagudin,99.8,Male
Reyes,Miguel,59491,Private,History,San Fernando,94.22,Female
Cruz,Pedro,69805,Public,Sociology,Baguio,85.58,Female
Flores,Luisa,68163,Private,Economics,Vigan,91.23,Female
Mendoza,Maria,38960,Public,Biology,San Fernando,87.43,Female
Torres,Elena,44134,Private,Accountancy,Cervantes,87.85,Male
Reyes,Jose,64460,Public,Sociology,San Fernando,87.49,Male
Reyes,Rosa,48325,Private,Accountancy,Vigan,87.67,Male
Flores,Rosa,80152,Public,Accountancy,Santa,96.7,Female
Gonzales,Miguel,82551,Private,Economics,Santa,97.66,Female
Flores,Carlos,82866,Public,Biology,Cervantes,98.32,Female
Flores,Luisa,72783,Private,Literature,Narvacan,97.31,Male
Torres,Maria,75007,Public,Literature,Vigan,90.99,Female
Lopez,Elena,61132,Private,Literature,Cervantes,99.88,Male
Mendoza,Jose,45725,Public,History,Candon,95.39,Female
Flores,Miguel,90029,Private,Finance,Laoag,98.2,Male
Garcia,Elena,50021,Public,Accountancy,Baguio,89.86,Male
Santos,Luisa,41080,Private,Sociology,Baguio,90.13,Female
Cruz,Maria,85639,Public,Finance,Cervantes,87.66,Male
Lopez,Carlos,62000,Private,Engineering,Laoag,86.53,Female
Santos,Ana,71960,Public,History,Narvacan,85.78,Female
Santos,Elena,87214,Private,Economics,San Fernando,87.74,Female
Mendoza,Jose,71528,Public,Finance,Cervantes,90.8,Male
Rivera,Luisa,65609,Private,History,Laoag,98.66,Male
Santos,Ana,38129,Public,Sociology,San Fernando,85.44,Male
Gonzales,Juan,83629,Private,Accountancy,Tagudin,98.31,Female
Santos,Juan,68553,Public,Engineering,Santa,94.79,Male
Santos,Juan,92562,Private,History,Santa,97.5,Female
Lopez,Ana,42754,Public,Literature,Batac,87.86,Male
Flores,Luisa,53145,Private,Biology,Candon,86.81,Female
Gonzales,Miguel,83161,Public,Biology,Candon,93.27,Male
Flores,Elena,42984,Private,Finance,Laoag,93.85,Female
Garcia,Pedro,36197,Public,Accountancy,Laoag,88.74,Female
Rivera,Maria,37896,Private,Literature,Santa,85.06,Male
Garcia,Luisa,46034,Public,Finance,Vigan,93.91,Male
Reyes,Elena,52764,Private,History,Tagudin,95.11,Male
Torres,Carlos,72898,Public,Sociology,Laoag,88.57,Female
Cruz,Miguel,39778,Private,Literature,Vigan,91.27,Female
Cruz,Juan,32014,Public,History,Batac,88.3,Male
Lopez,Elena,33116,Private,Finance,Candon,85.68,Female
Cruz,Pedro,41688,Public,Literature,Tagudin,94.8,Male
Cruz,Ana,58166,Private,Biology,Vigan,91.37,Female
Cruz,Carlos,95959,Public,Biology,Candon,98.51,Male
Gonzales,Jose,32594,Private,Engineering,Candon,95.63,Male
Cruz,Pedro,39782,Public,Finance,Tagudin,93.8,Female
Garcia,Juan,72914,Private,Biology,Narvacan,99.37,Male
Rivera,Carlos,97215,Public,Finance,Santa,91.7,Female
Torres,Rosa,81219,Private,Engineering,Laoag,91.96,Female
Cruz,Luisa,94889,Public,Psychology,San Fernando,86.09,Female
Garcia,Pedro,85143,Private,Biology,San Fernando,85.91,Female
Cruz,Miguel,53175,Public,Sociology,Santa,87.03,Male
Garcia,Jose,35340,Private,Computer Science,Laoag,95.97,Female
Flores,Maria,37703,Public,Engineering,Narvacan,93.23,Female
Torres,Ana,51806,Private,Accountancy,Batac,86.59,Female
Flores,Pedro,52764,Public,Biology,Narvacan,96.83,Female
Garcia,Jose,63235,Private,Literature,Santa,95.11,Male
Garcia,Ana,70929,Public,Literature,Vigan,98.73,Male
Reyes,Juan,96122,Private,Literature,Laoag,89.94,Male
Reyes,Maria,51464,Public,Accountancy,Batac,98.53,Male
Garcia,Jose,42097,Private,Psychology,Batac,97.04,Female
Rivera,Miguel,90041,Public,Accountancy,Batac,97.52,Female
Lopez,Rosa,67522,Private,Literature,Narvacan,92.74,Female
Rivera,Ana,48230,Public,Economics,Candon,97.27,Male
Mendoza,Juan,70186,Private,Sociology,Baguio,88.67,Female
Gonzales,Pedro,69902,Public,History,Narvacan,94.4,Female
Cruz,Pedro,54478,Private,Finance,Tagudin,95.05,Female
Gonzales,Juan,36278,Public,Literature,Candon,93.42,Female
Garcia,Elena,35695,Private,Finance,Santa,92.61,Male
Cruz,Miguel,89598,Public,Sociology,Batac,96.18,Male
Rivera,Elena,75850,Private,Finance,Batac,85.06,Male
Lopez,Rosa,55772,Public,History,Baguio,97.77,Male
Mendoza,Carlos,50571,Private,Engineering,Tagudin,90.34,Male
Lopez,Ana,41402,Public,History,Vigan,91.43,Male
