ID,Lastname,Firstname,FamilyIncome,TypeofSeniorHighSchool,ProgramEnrolled,MunicipalityOfOrigin,Grade12GWA,Sex
819,Mendoza,Miguel,31312,Public,Psychology,San Fernando,88.24,Female
820,Rivera,Luisa,64992,Private,Psychology,San Fernando,99.63,Male
821,Flores,Juan,68424,Public,Sociology,Vigan,86.74,Female
822,Reyes,Maria,62008,Private,Sociology,Tagudin,89.36,Female
823,Cruz,Juan,79090,Public,Literature,Tagudin,92.07,Female
824,Lopez,Maria,96138,Private,Accountancy,Baguio,88.6,Male
825,Mendoza,Elena,51750,Public,Computer Science,Tagudin,89.57,Female
826,Cruz,Elena,59723,Private,Psychology,Vigan,91.99,Female
827,Torres,Ana,74822,Public,Sociology,Santa,97.74,Male
828,Rivera,Luisa,76549,Private,Computer Science,Vigan,95.82,Male
829,Garcia,Ana,90210,Public,Sociology,Batac,88.49,Female
830,Lopez,Juan,59096,Private,Biology,Vigan,91.44,Male
831,Lopez,Juan,90603,Public,Sociology,Laoag,92.62,Female
832,Cruz,Carlos,39812,Private,Literature,Santa,98.89,Female
833,Garcia,Miguel,90180,Public,Accountancy,Santa,92.33,Female
834,Gonzales,Rosa,46887,Private,Computer Science,Candon,93.48,Male
835,Flores,Jose,83633,Public,Economics,Vigan,87.49,Male
836,Gonzales,Miguel,39677,Private,Accountancy,Santa,88.16,Female
837,Gonzales,Rosa,67978,Public,Accountancy,Baguio,94.16,Male
838,Rivera,Ana,59352,Private,Accountancy,Laoag,96.74,Female
839,Mendoza,Elena,39532,Public,Accountancy,Vigan,94.13,Male
840,Santos,Elena,42399,Private,Biology,San Fernando,91.43,Female
841,Gonzales,Maria,74850,Public,Psychology,San Fernando,93.32,Male
842,Torres,Jose,86469,Private,Engineering,Cervantes,93.1,Female
843,Gonzales,Jose,33641,Public,Psychology,Tagudin,96.07,Male
844,Rivera,Jose,56130,Private,Economics,San Fernando,98.98,Male
845,Gonzales,Juan,60480,Public,History,Santa,97.68,Male
846,Santos,Carlos,86353,Private,Economics,Tagudin,93.36,Female
847,Rivera,Juan,87465,Public,Finance,Batac,92.94,Male
848,Reyes,Ana,46469,Private,Accountancy,Cervantes,97.36,Male
849,Rivera,Maria,68542,Public,Psychology,Batac,97.9,Female
850,Lopez,Rosa,35444,Private,Engineering,San Fernando,86.04,Female
851,Torres,Rosa,76872,Public,Sociology,Tagudin,88.01,Male
852,Flores,Maria,93181,Private,History,Narvacan,96.98,Male
853,Flores,Ana,33154,Public,Sociology,Cervantes,92.63,Male
854,Rivera,Carlos,92458,Private,Finance,Tagudin,94.03,Female
855,Lopez,Maria,59210,Public,Economics,Cervantes,96.61,Female
856,Cruz,Miguel,86592,Private,Biology,Baguio,88.09,Female
857,Garcia,Pedro,66837,Public,Computer Science,Tagudin,86.1,Female
858,Rivera,Pedro,84257,Private,Psychology,San Fernando,87.26,Male
859,Flores,Jose,53050,Public,Engineering,Narvacan,89.15,Female
860,Mendoza,Maria,42658,Private,Literature,Santa,95.39,Male
861,Lopez,Carlos,38863,Public,Psychology,Laoag,97,Female
862,Flores,Ana,91398,Private,Sociology,Laoag,86.72,Male
863,Lopez,Pedro,34447,Public,Accountancy,Vigan,89.75,Female
864,Torres,Elena,94110,Private,History,Tagudin,95.23,Male
865,Torres,Juan,76525,Public,Economics,Baguio,88.27,Female
866,Torres,Maria,30862,Private,Biology,Baguio,88.42,Male
867,Mendoza,Miguel,33791,Public,History,San Fernando,98.35,Male
868,Flores,Carlos,32281,Private,Literature,Batac,91.05,Male
869,Mendoza,Ana,47528,Public,Biology,Vigan,85.6,Male
870,Flores,Jose,41387,Private,Sociology,Batac,88.12,Female
871,Flores,Jose,71288,Public,Computer Science,Baguio,99.07,Male
872,Reyes,Ana,96272,Private,Economics,San Fernando,96.56,Male
873,Garcia,Ana,50907,Public,Finance,Laoag,95.27,Female
874,Flores,Elena,79170,Private,Engineering,Cervantes,99.46,Male
875,Gonzales,Luisa,34474,Public,Economics,Narvacan,94.72,Male
876,Mendoza,Juan,98474,Private,Accountancy,Tagudin,96.85,Female
877,Mendoza,Carlos,85751,Public,Computer Science,Batac,86.62,Male
878,Lopez,Pedro,96768,Private,Literature,Baguio,89.64,Female
879,Reyes,Miguel,61992,Public,Literature,Tagudin,90.71,Female
880,Garcia,Juan,35571,Private,Psychology,Cervantes,96.53,Male
881,Santos,Ana,47769,Public,History,Cervantes,97.39,Female
882,Cruz,Luisa,92402,Private,Computer Science,Candon,89.81,Female
883,Torres,Miguel,63274,Public,Psychology,Tagudin,90.06,Female
884,Santos,Carlos,58362,Private,History,Tagudin,85.57,Female
885,Cruz,Elena,76026,Public,History,Baguio,95.19,Female
886,Lopez,Pedro,56503,Private,Psychology,San Fernando,90.49,Female
887,Mendoza,Rosa,33824,Public,Sociology,Batac,93.07,Female
888,Santos,Miguel,32729,Private,Literature,San Fernando,91.1,Male
889,Torres,Luisa,48568,Public,Psychology,Candon,95.66,Male
890,Torres,Pedro,51036,Private,History,Tagudin,93.4,Female
891,Garcia,Jose,59049,Public,Computer Science,Santa,94.93,Male
892,Cruz,Luisa,49720,Private,Sociology,Baguio,96.69,Female
893,Flores,Miguel,54099,Public,Finance,Candon,89.24,Female
894,Gonzales,Carlos,61156,Private,Sociology,Batac,99.29,Female
895,Mendoza,Rosa,33944,Public,Sociology,Narvacan,96.97,Female
896,Mendoza,Jose,71776,Private,Economics,Candon,90.16,Male
897,Rivera,Elena,46253,Public,Computer Science,Santa,88.2,Female
898,Cruz,Miguel,72062,Private,Psychology,Candon,96.96,Male
899,Lopez,Miguel,58311,Public,Psychology,Santa,88.4,Male
900,Gonzales,Luisa,63446,Private,Literature,Santa,97.3,Male
901,Garcia,Juan,39375,Public,Psychology,San Fernando,97.25,Female
902,Santos,Jose,70184,Private,Engineering,Candon,96.87,Female
903,Cruz,Elena,84718,Public,Computer Science,Batac,98.53,Female
904,Torres,Carlos,82369,Private,Economics,Tagudin,88.38,Female
905,Torres,Elena,60158,Public,Accountancy,San Fernando,86.78,Male
906,Gonzales,Luisa,44427,Private,Finance,Tagudin,91.37,Male
907,Garcia,Ana,77442,Public,Finance,Candon,98.34,Female
908,Reyes,Ana,96998,Private,Engineering,Cervantes,96.25,Female
909,Cruz,Maria,55292,Public,Literature,Baguio,86.97,Female
910,Mendoza,Juan,62856,Private,Accountancy,Narvacan,91.6,Male
911,Cruz,Elena,80107,Public,Engineering,Candon,94.93,Male
912,Torres,Maria,47962,Private,History,Candon,92.27,Female
913,Garcia,Jose,48667,Public,Biology,Candon,98.76,Male
914,Torres,Juan,72677,Private,Economics,Cervantes,97.65,Female
915,Santos,Juan,41531,Public,Psychology,Narvacan,96.5,Male
916,Lopez,Elena,56440,Private,Literature,San Fernando,97.88,Female
917,Lopez,Luisa,72050,Public,Sociology,Baguio,92.48,Male
918,Flores,Maria,95532,Private,Economics,Narvacan,90.18,Female
919,Torres,Elena,58333,Public,Engineering,Candon,98.8,Male
920,Rivera,Rosa,93252,Private,Economics,San Fernando,96.84,Male
921,Torres,Juan,42196,Public,Sociology,Candon,91.89,Female
922,Garcia,Juan,78685,Private,Biology,Laoag,87.85,Female
923,Santos,Luisa,65805,Public,Finance,Narvacan,97.56,Female
924,Santos,Jose,42204,Private,Finance,Cervantes,86.41,Female
925,Cruz,Juan,95821,Public,Accountancy,Cervantes,93.3,Female
926,Garcia,Juan,74799,Private,Economics,Narvacan,98.69,Female
927,Garcia,Miguel,83604,Public,Accountancy,Cervantes,88.1,Male
928,Rivera,Maria,52557,Private,Biology,Laoag,96.06,Male
929,Gonzales,Miguel,95312,Public,History,San Fernando,92.98,Male
930,Flores,Juan,32699,Private,Biology,Batac,91.53,Male
931,Cruz,Miguel,67061,Public,Literature,Candon,96.19,Male
932,Torres,Pedro,39116,Private,History,Tagudin,88.91,Male
933,Santos,Elena,45721,Public,Computer Science,Santa,92.02,Male
934,Cruz,Maria,32916,Private,Literature,Cervantes,99.31,Male
935,Lopez,Jose,47108,Public,Psychology,Laoag,85.73,Male
936,Reyes,Maria,63322,Private,History,Santa,91.92,Female
937,Gonzales,Carlos,39121,Public,Literature,San Fernando,95.32,Male
938,Lopez,Jose,32000,Private,Engineering,San Fernando,89.31,Male
939,Garcia,Maria,87888,Public,Accountancy,San Fernando,93.38,Female
940,Mendoza,Elena,85494,Private,Engineering,Tagudin,92.68,Female
941,Flores,Ana,67332,Public,Economics,Candon,90.44,Female
942,Garcia,Miguel,43449,Private,Accountancy,Candon,85.38,Male
943,Mendoza,Maria,65366,Public,Computer Science,Vigan,97.95,Female
944,Flores,Maria,55792,Private,Literature,Vigan,92.88,Female
945,Reyes,Ana,45910,Public,Engineering,Santa,91.23,Male
946,Rivera,Ana,76838,Private,Literature,San Fernando,89.65,Female
947,Santos,Pedro,92861,Public,Biology,Tagudin,89.63,Male
948,Torres,Ana,92155,Private,Computer Science,Santa,89.36,Male
949,Torres,Ana,39162,Public,Economics,Batac,88.02,Female
950,Reyes,Ana,75325,Private,Economics,Laoag,92.63,Male
951,Gonzales,Luisa,83289,Public,Sociology,Santa,93.5,Male
952,Flores,Elena,76931,Private,Finance,Cervantes,91.95,Male
953,Cruz,Jose,47329,Public,Economics,Narvacan,92.56,Female
954,Torres,Juan,52654,Private,Literature,Laoag,94.51,Male
955,Reyes,Rosa,40734,Public,Literature,Batac,88.17,Male
956,Santos,Miguel,40006,Private,Accountancy,Tagudin,92.86,Female
957,Mendoza,Ana,30049,Public,Psychology,Tagudin,86.13,Male
958,Torres,Maria,79179,Private,Economics,Candon,91.34,Female
959,Reyes,Maria,84471,Public,Psychology,Batac,95.63,Female
960,Lopez,Rosa,39225,Private,Computer Science,San Fernando,95.28,Male
961,Rivera,Jose,66408,Public,Literature,Batac,89.89,Female
962,Gonzales,Carlos,99879,Private,Finance,Tagudin,95.47,Male
963,Garcia,Juan,47803,Public,Biology,Candon,86.54,Female
964,Santos,Rosa,45636,Private,Accountancy,Batac,85.45,Female
965,Flores,Juan,83451,Public,Engineering,Santa,96.17,Male
966,Santos,Pedro,84463,Private,Computer Science,San Fernando,97.69,Male
967,Mendoza,Luisa,90903,Public,History,Santa,85.08,Male
968,Lopez,Ana,82115,Private,Computer Science,Vigan,91.49,Male
969,Rivera,Ana,54579,Public,Psychology,Narvacan,85.19,Female
970,Rivera,Pedro,99536,Private,Economics,Santa,99.17,Female
971,Gonzales,Pedro,99009,Public,Economics,Tagudin,91.13,Female
972,Gonzales,Carlos,99554,Private,Computer Science,Narvacan,98.9,Male
973,Torres,Carlos,68061,Public,Sociology,Cervantes,88.5,Male
974,Gonzales,Jose,56861,Private,History,San Fernando,93.22,Male
975,Reyes,Juan,74746,Public,Psychology,Batac,99.89,Male
976,Garcia,Miguel,97222,Private,Economics,Baguio,98.39,Male
977,Mendoza,Luisa,49885,Public,History,Laoag,95.57,Female
978,Santos,Juan,41591,Private,History,Candon,88.76,Male
979,Reyes,Ana,55430,Public,Economics,Candon,98.4,Male
980,Garcia,Luisa,84050,Private,Biology,Vigan,96.06,Female
981,Flores,Luisa,68655,Public,Finance,Candon,98.56,Male
982,Reyes,Pedro,81010,Private,Psychology,Cervantes,98.13,Female
983,Garcia,Maria,54650,Public,History,Batac,98.51,Male
984,Flores,Carlos,59490,Private,Biology,Candon,94.42,Female
985,Lopez,Ana,44162,Public,Literature,San Fernando,95.98,Male
986,Reyes,Maria,75339,Private,History,Vigan,97.22,Female
987,Mendoza,Ana,88423,Public,Literature,San Fernando,97.78,Male
988,Cruz,Miguel,66123,Private,Computer Science,Cervantes,88.54,Male
989,Reyes,Ana,45572,Public,Economics,San Fernando,98.11,Male
990,Mendoza,Jose,44634,Private,Accountancy,Laoag,89.84,Female
991,Lopez,Maria,84026,Public,Psychology,Narvacan,90.9,Male
992,Reyes,Juan,81586,Private,History,Candon,97.48,Male
993,Garcia,Ana,52253,Public,Economics,Candon,87.52,Male
994,Flores,Jose,68228,Private,Engineering,Batac,90.31,Male
995,Gonzales,Luisa,91461,Public,Economics,Laoag,94.02,Male
996,Torres,Elena,35151,Private,Computer Science,Cervantes,98.79,Male
997,Flores,Luisa,32593,Public,Computer Science,Laoag,94.71,Female
998,Cruz,Carlos,73326,Private,Literature,Santa,95.74,Female
999,Flores,Rosa,93141,Public,History,Narvacan,95.93,Female
1000,Gonzales,Luisa,60891,Private,Accountancy,Vigan,92.8,Male
1001,Flores,Juan,59049,Public,Psychology,Narvacan,92.58,Male
1002,Torres,Elena,30789,Private,Psychology,Baguio,92.69,Female
1003,Reyes,Pedro,68634,Public,Sociology,Santa,92.87,Female
1004,Rivera,Carlos,89875,Private,Psychology,Candon,89.48,Male
1005,Flores,Carlos,45251,Public,Sociology,San Fernando,88.27,Female
1006,Gonzales,Luisa,83009,Private,Biology,Candon,86.02,Male
1007,Reyes,Jose,82253,Public,Economics,Santa,93.78,Female
1008,Reyes,Carlos,96650,Private,History,Santa,87.55,Female
1009,Rivera,Pedro,93508,Public,History,Narvacan,93.69,Female
1010,Gonzales,Miguel,46096,Private,Finance,Narvacan,95.85,Female
1011,Santos,Miguel,30990,Public,Finance,Tagudin,94.23,Female
1012,Torres,Luisa,31607,Private,Engineering,Candon,86.48,Male
1013,Lopez,Pedro,51946,Public,Engineering,Cervantes,93.85,Female
1014,Reyes,Carlos,73380,Private,Economics,Tagudin,99.12,Female
1015,Gonzales,Elena,60090,Public,Computer Science,Narvacan,95.51,Male
1016,Santos,Rosa,86042,Private,Sociology,Vigan,91.77,Male
1017,Reyes,Jose,69166,Public,Accountancy,Vigan,96.83,Female
1018,Garcia,Jose,30759,Private,Accountancy,Baguio,92.52,Male
1019,Santos,Juan,56988,Public,Computer Science,San Fernando,99.01,Male
1020,Mendoza,Pedro,58498,Private,Computer Science,San Fernando,90.63,Male
1021,Reyes,Miguel,42038,Public,History,Santa,93.11,Male
1022,Garcia,Elena,99383,Private,Computer Science,Candon,95.58,Male
1023,Santos,Maria,90156,Public,Literature,Baguio,96.26,Female
1024,Gonzales,Elena,40507,Private,Sociology,Batac,91.02,Female
1025,Reyes,Juan,35256,Public,History,Baguio,95.5,Female
1026,Garcia,Carlos,90496,Private,Economics,Santa,90.81,Female
1027,Cruz,Miguel,73882,Public,Engineering,Baguio,87.62,Female
1028,Garcia,Pedro,56980,Private,Economics,Tagudin,92.23,Male
1029,Torres,Juan,40850,Public,Engineering,Santa,98.23,Female
1030,Mendoza,Juan,91850,Private,Biology,Vigan,92.57,Female
1031,Garcia,Rosa,46285,Public,Finance,Baguio,88.19,Male
1032,Rivera,Jose,79336,Private,Accountancy,Cervantes,96.16,Female
1033,Cruz,Rosa,88687,Public,Accountancy,Narvacan,87.48,Female
1034,Reyes,Elena,74499,Private,Accountancy,Tagudin,91.99,Male
1035,Reyes,Rosa,39066,Public,Sociology,Candon,92.14,Male
1036,Flores,Miguel,76088,Private,Economics,Batac,93.53,Female
1037,Rivera,Juan,99160,Public,Literature,Tagudin,94.75,Male
1038,Torres,Juan,45892,Private,Finance,Cervantes,92.2,Female
1039,Flores,Elena,63367,Public,Computer Science,Baguio,85.59,Male
1040,Garcia,Jose,50387,Private,Accountancy,Narvacan,96.89,Male
1041,Rivera,Ana,56870,Public,Psychology,Vigan,94.45,Male
1042,Cruz,Ana,96881,Private,Psychology,Cervantes,87.49,Female
1043,Lopez,Luisa,92018,Public,Literature,Batac,96.36,Female
1044,Mendoza,Pedro,66901,Private,Finance,Batac,89.16,Female
1045,Lopez,Ana,36098,Public,Biology,Candon,89.26,Female
1046,Lopez,Luisa,97683,Private,Psychology,Vigan,99.12,Female
1047,Torres,Elena,47610,Public,Literature,Narvacan,86.79,Male
1048,Garcia,Maria,72367,Private,Accountancy,Baguio,91.04,Female
1049,Cruz,Elena,45373,Public,Computer Science,Laoag,93.39,Female
1050,Reyes,Luisa,94218,Private,Psychology,Candon,94.73,Male
1051,Mendoza,Rosa,81303,Public,Engineering,Batac,86.84,Male
1052,Santos,Luisa,32382,Private,Biology,Narvacan,98.27,Male
1053,Torres,Ana,89850,Public,History,Vigan,90.85,Male
1054,Lopez,Ana,80587,Private,Sociology,Candon,94.63,Male
1055,Lopez,Ana,96795,Public,Finance,Santa,91.79,Female
1056,Garcia,Pedro,42208,Private,Economics,Vigan,87.92,Male
1057,Flores,Luisa,34837,Public,Biology,Baguio,99.6,Male
1058,Gonzales,Pedro,65176,Private,Biology,Vigan,99.74,Male
1059,Garcia,Carlos,84587,Public,Economics,Santa,86.85,Female
1060,Rivera,Rosa,60001,Private,History,Santa,87.8,Female
1061,Santos,Elena,76407,Public,Computer Science,Cervantes,92.06,Male
1062,Torres,Miguel,42771,Private,Psychology,Laoag,90.65,Female
1063,Mendoza,Maria,53160,Public,Computer Science,Vigan,85.7,Male
1064,Flores,Elena,44822,Private,Economics,Tagudin,88.81,Male
1065,Garcia,Jose,90756,Public,Sociology,Cervantes,92.71,Female
1066,Cruz,Carlos,59716,Private,Computer Science,Tagudin,86.34,Female
1067,Rivera,Miguel,90791,Public,Literature,Narvacan,89.67,Female
1068,Rivera,Juan,87193,Private,History,Tagudin,85.3,Female
1069,Lopez,Elena,80746,Public,Finance,Tagudin,95.49,Female
1070,Gonzales,Juan,52731,Private,Biology,Narvacan,95.61,Female
1071,Lopez,Rosa,88133,Public,Literature,Narvacan,92.45,Female
1072,Torres,Rosa,57554,Private,Psychology,San Fernando,95.11,Female
1073,Santos,Rosa,71247,Public,History,Laoag,96.45,Female
1074,Cruz,Jose,86408,Private,Literature,Vigan,86.68,Male
1075,Cruz,Carlos,83995,Public,Sociology,Candon,96.22,Male
1076,Reyes,Ana,47838,Private,Psychology,Tagudin,88.96,Female
1077,Rivera,Carlos,82294,Public,Psychology,Vigan,95.23,Male
1078,Lopez,Luisa,36949,Private,History,Santa,89.07,Male
1079,Mendoza,Maria,79232,Public,Engineering,Narvacan,99.47,Female
1080,Garcia,Rosa,47879,Private,History,Laoag,87.71,Female
1081,Mendoza,Maria,39791,Public,Engineering,Tagudin,88.6,Female
1082,Mendoza,Maria,53512,Private,History,Laoag,87.7,Male
1083,Lopez,Juan,34058,Public,Finance,Baguio,98.3,Male
1084,Mendoza,Luisa,86963,Private,History,Tagudin,89.07,Female
1085,Lopez,Maria,40889,Public,Economics,Candon,96.11,Male
1086,Gonzales,Pedro,54170,Private,Psychology,Candon,93.96,Male
1087,Rivera,Juan,58145,Public,Engineering,Tagudin,89.72,Female
1088,Santos,Miguel,61981,Private,Accountancy,Tagudin,91.01,Male
1089,Garcia,Luisa,63968,Public,Computer Science,San Fernando,94.97,Male
1090,Torres,Miguel,39905,Private,Accountancy,Baguio,93.24,Female
1091,Rivera,Maria,51579,Public,Sociology,San Fernando,91.94,Male
1092,Gonzales,Miguel,98280,Private,Economics,Candon,86.57,Female
1093,Santos,Miguel,95000,Public,Biology,Batac,93.08,Male
1094,Santos,Elena,73667,Private,History,Batac,92.97,Male
1095,Cruz,Carlos,43515,Public,History,Batac,91.86,Female
1096,Mendoza,Miguel,80162,Private,History,Batac,88.63,Male
1097,Flores,Pedro,93573,Public,Economics,Cervantes,94.47,Male
1098,Gonzales,Maria,67032,Private,Biology,Vigan,91.97,Female
1099,Reyes,Miguel,44931,Public,Psychology,Vigan,93.46,Male
1100,Garcia,Elena,33386,Private,Biology,Batac,89.22,Male
1101,Flores,Jose,89321,Public,Computer Science,Narvacan,98.59,Female
1102,Torres,Ana,34213,Private,Computer Science,Baguio,90.66,Female
1103,Cruz,Miguel,64671,Public,Engineering,Santa,96.75,Female
1104,Garcia,Luisa,48409,Private,History,Tagudin,97.96,Male
1105,Rivera,Jose,41898,Public,Literature,San Fernando,86.47,Female
1106,Cruz,Pedro,52946,Private,Sociology,Laoag,92.77,Female
1107,Rivera,Juan,80619,Public,Psychology,Narvacan,93.32,Male
1108,Garcia,Ana,63895,Private,Sociology,Cervantes,96.78,Male
1109,Mendoza,Carlos,74733,Public,Finance,Santa,85.61,Female
1110,Torres,Jose,32229,Private,Sociology,Laoag,91.9,Female
1111,Gonzales,Rosa,35411,Public,Computer Science,San Fernando,93.62,Female
1112,Mendoza,Maria,89618,Private,Computer Science,Candon,91.46,Female
1113,Gonzales,Pedro,35511,Public,Engineering,Batac,92.87,Male
1114,Mendoza,Rosa,65370,Private,Biology,Santa,86.26,Male
1115,Reyes,Luisa,68550,Public,Accountancy,Laoag,96.24,Female
1116,Gonzales,Ana,63023,Private,History,Santa,92.05,Female
1117,Santos,Miguel,98091,Public,History,Candon,91.91,Male
1118,Cruz,Jose,32711,Private,Psychology,Batac,88.15,Female
1119,Santos,Miguel,40480,Public,Economics,Batac,85.9,Female
1120,Cruz,Rosa,44276,Private,Computer Science,Tagudin,90.4,Male
1121,Santos,Luisa,61575,Public,Finance,Cervantes,96.89,Female
1122,Rivera,Juan,95611,Private,Computer Science,Cervantes,88.05,Female
1123,Flores,Maria,89826,Public,Computer Science,Santa,87.24,Female
1124,Cruz,Ana,66875,Private,Sociology,Batac,91.34,Female
1125,Torres,Elena,55432,Public,History,Tagudin,88.99,Male
1126,Torres,Luisa,31123,Private,Engineering,Santa,92.52,Female
1127,Garcia,Miguel,78183,Public,Economics,Vigan,92.92,Male
1128,Gonzales,Ana,80303,Private,Engineering,Batac,89.51,Male
1129,Garcia,Jose,32848,Public,Engineering,Vigan,87.88,Male
1130,Cruz,Luisa,34135,Private,Engineering,Vigan,92.45,Male
1131,Gonzales,Luisa,30770,Public,Computer Science,San Fernando,96.08,Male
1132,Gonzales,Miguel,49319,Private,Biology,Vigan,86.18,Female
1133,Reyes,Maria,38257,Public,Finance,Santa,99.25,Female
1134,Cruz,Juan,56436,Private,Economics,Narvacan,97.13,Male
1135,Lopez,Miguel,43235,Public,Literature,Narvacan,94.9,Female
1136,Lopez,Luisa,37164,Private,History,Narvacan,97.08,Female
1137,Reyes,Juan,65216,Public,Economics,Santa,96.64,Male
1138,Mendoza,Luisa,68156,Private,History,Narvacan,87.2,Female
1139,Cruz,Pedro,30141,Public,Engineering,Vigan,93.91,Female
1140,Lopez,Pedro,61180,Private,Psychology,Batac,99.46,Male
1141,Flores,Maria,89485,Public,Biology,San Fernando,95.12,Female
1142,Torres,Carlos,75795,Private,Psychology,Candon,96.61,Female
1143,Reyes,Jose,53997,Public,Computer Science,Baguio,92.4,Female
1144,Reyes,Miguel,50019,Private,Engineering,San Fernando,92.2,Female
1145,Santos,Elena,60084,Public,Biology,Vigan,95.24,Female
1146,Garcia,Juan,34272,Private,Economics,Vigan,90.05,Male
1147,Torres,Luisa,88437,Public,Engineering,Baguio,98.26,Female
1148,Rivera,Pedro,68738,Private,History,Vigan,95.71,Female
1149,Torres,Elena,32653,Public,Accountancy,Tagudin,99.8,Male
1150,Santos,Miguel,78819,Private,Sociology,Baguio,93.11,Female
1151,Torres,Luisa,41048,Public,History,Cervantes,95.48,Female
1152,Flores,Rosa,43535,Private,History,Candon,90.21,Female
1153,Cruz,Maria,74270,Public,Biology,Vigan,93.33,Male
1154,Flores,Elena,87432,Private,Sociology,Tagudin,99.3,Male
1155,Santos,Miguel,55941,Public,History,Baguio,91.59,Male
1156,Rivera,Miguel,54219,Private,Accountancy,Batac,86.99,Female
1157,Reyes,Carlos,62370,Public,Engineering,Narvacan,91.04,Female
1158,Cruz,Miguel,74265,Private,Computer Science,Candon,85.09,Male
1159,Cruz,Elena,67414,Public,History,Vigan,92.38,Male
1160,Gonzales,Juan,31449,Private,Finance,Baguio,87.18,Male
1161,Rivera,Rosa,79428,Public,Accountancy,Tagudin,91.64,Female
1162,Torres,Pedro,91362,Private,Literature,Batac,85.19,Male
1163,Mendoza,Pedro,55845,Public,Economics,Laoag,93.87,Female
1164,Mendoza,Carlos,86061,Private,Accountancy,Narvacan,88.22,Male
1165,Torres,Maria,99517,Public,Engineering,Vigan,93.28,Male
1166,Cruz,Maria,69829,Private,Finance,Tagudin,88.84,Female
1167,Mendoza,Ana,97324,Public,Biology,Laoag,87.97,Male
1168,Cruz,Rosa,86195,Private,History,Cervantes,92.41,Female
1169,Santos,Juan,46166,Public,Finance,Candon,96.38,Female
1170,Flores,Juan,75877,Private,History,Vigan,99.21,Female
1171,Rivera,Luisa,68962,Public,Economics,Candon,90.47,Male
1172,Torres,Rosa,62305,Private,Engineering,Batac,95.8,Male
1173,Santos,Juan,41824,Public,Biology,Laoag,85.2,Female
1174,Reyes,Elena,88739,Private,History,Santa,86.18,Female
1175,Cruz,Elena,61111,Public,Accountancy,Baguio,94.63,Male
1176,Lopez,Elena,84741,Private,Engineering,San Fernando,89.85,Male
1177,Torres,Miguel,76984,Public,Psychology,Baguio,99.15,Female
1178,Mendoza,Miguel,32891,Private,Biology,San Fernando,85.72,Female
1179,Rivera,Carlos,77898,Public,Engineering,Vigan,86.48,Male
1180,Rivera,Maria,56368,Private,Finance,Batac,86.93,Female
1181,Flores,Ana,49133,Public,Finance,Tagudin,87.02,Male
1182,Reyes,Juan,91127,Private,Computer Science,Vigan,87.62,Female
1183,Santos,Pedro,72636,Public,Literature,Narvacan,96.68,Female
1184,Rivera,Jose,45517,Private,Biology,Baguio,98.37,Male
1185,Torres,Luisa,65758,Public,Psychology,Baguio,95.71,Female
1186,Mendoza,Juan,38467,Private,Finance,Batac,88.57,Female
1187,Flores,Luisa,60118,Public,Economics,Batac,99.08,Female
1188,Mendoza,Juan,69688,Private,Economics,Baguio,85.97,Female
1189,Rivera,Jose,72347,Public,Biology,San Fernando,85.44,Male
1190,Cruz,Miguel,87330,Private,Computer Science,Tagudin,99.15,Male
1191,Reyes,Juan,58819,Public,Psychology,Narvacan,86.71,Male
1192,Mendoza,Miguel,35763,Private,Finance,Cervantes,97.39,Female
1193,Rivera,Miguel,32518,Public,Computer Science,Tagudin,93.47,Female
1194,Rivera,Rosa,65568,Private,Literature,Batac,96.36,Female
1195,Reyes,Pedro,34108,Public,Sociology,Cervantes,98.37,Male
1196,Cruz,Rosa,84501,Private,Engineering,Cervantes,90.76,Male
1197,Rivera,Maria,66047,Public,Engineering,Santa,94.45,Female
1198,Lopez,Juan,31380,Private,Computer Science,San Fernando,98.34,Male
1199,Flores,Rosa,81732,Public,Economics,San Fernando,92.55,Male
1200,Gonzales,Miguel,52812,Private,Psychology,Candon,89.76,Female
1201,Gonzales,Juan,35129,Public,Economics,Candon,98.56,Male
1202,Cruz,Juan,38644,Private,Psychology,Candon,99.08,Male
1203,Gonzales,Luisa,55717,Public,Engineering,Santa,89.39,Female
1204,Gonzales,Jose,81366,Private,Finance,Tagudin,89,Female
1205,Garcia,Rosa,87696,Public,Engineering,Santa,99.83,Female
1206,Torres,Maria,81328,Private,Finance,Cervantes,98.47,Male
1207,Flores,Maria,87404,Public,Economics,Baguio,88.08,Male
1208,Garcia,Juan,48944,Private,Literature,San Fernando,85.23,Female
1209,Santos,Ana,36586,Public,Psychology,Batac,98.74,Male
1210,Reyes,Juan,95756,Private,Sociology,Laoag,95.64,Male
1211,Reyes,Ana,93481,Public,Biology,Tagudin,91.6,Male
1212,Cruz,Ana,49512,Private,Engineering,Laoag,91.51,Female
1213,Mendoza,Juan,91342,Public,Psychology,Tagudin,88.91,Female
1214,Cruz,Pedro,49811,Private,Biology,Narvacan,97.49,Female
1215,Garcia,Luisa,40650,Public,Biology,Batac,86.6,Male
1216,Lopez,Miguel,94904,Private,Sociology,Tagudin,90.18,Female
1217,Cruz,Elena,73070,Public,Economics,Laoag,88.89,Female
1218,Garcia,Pedro,58773,Private,Literature,Baguio,93.81,Female
1219,Gonzales,Carlos,93490,Public,Engineering,Laoag,95.97,Female
1220,Rivera,Elena,51073,Private,Finance,San Fernando,92.11,Female
1221,Santos,Jose,66546,Public,Literature,Tagudin,89.18,Male
1222,Cruz,Luisa,69398,Private,Accountancy,Santa,88.15,Male
